,user,num_of_hits,total_seconds
561,173.252.83.2,10,303152.0
562,173.252.83.20,13,506267.0
563,173.252.83.21,7,477659.0
564,173.252.83.22,4,426496.0
565,173.252.83.23,4,361296.0
566,173.252.83.24,1,0.0
567,173.252.83.3,4,387107.0
568,173.252.83.4,3,29913.0
569,173.252.83.5,8,566614.0
570,173.252.83.6,7,470181.0
571,173.252.83.7,1,0.0
572,173.252.83.8,9,506265.0
573,173.252.83.9,7,428634.0
574,173.252.87.10,1,0.0
575,173.252.87.11,1,0.0
576,173.252.87.111,1,0.0
577,173.252.87.117,1,0.0
578,173.252.87.118,1,0.0
579,173.252.87.12,2,421835.0
580,173.252.87.120,1,0.0
581,173.252.87.14,4,325673.0
582,173.252.87.15,1,0.0
583,173.252.87.17,2,1.0
584,173.252.87.18,5,463232.0
585,173.252.87.19,3,388920.0
586,173.252.87.2,2,2380.0
587,173.252.87.20,1,0.0
588,173.252.87.21,1,0.0
589,173.252.87.22,4,255596.0
590,173.252.87.23,1,0.0
591,173.252.87.24,1,0.0
592,173.252.87.3,2,1.0
593,173.252.87.4,3,50677.0
594,173.252.87.5,1,0.0
595,173.252.87.6,3,288248.0
596,173.252.87.7,3,463231.0
597,173.252.87.8,1,0.0
598,173.252.95.1,3,282356.0
599,173.252.95.117,2,1.0
600,173.252.95.118,2,4.0
601,173.252.95.119,1,0.0
602,173.252.95.13,1,0.0
603,173.252.95.14,1,0.0
604,173.252.95.15,1,0.0
605,173.252.95.16,2,402023.0
606,173.252.95.17,2,198331.0
607,173.252.95.19,5,450252.0
608,173.252.95.2,2,124103.0
609,173.252.95.20,3,203697.0
610,173.252.95.21,1,0.0
611,173.252.95.23,4,390419.0
612,173.252.95.24,1,0.0
613,173.252.95.29,2,1.0
614,173.252.95.3,1,0.0
615,173.252.95.30,2,1.0
616,173.252.95.31,1,0.0
617,173.252.95.4,1,0.0
618,173.252.95.5,1,0.0
619,173.252.95.7,1,0.0
620,173.252.95.8,1,0.0
621,173.252.95.9,1,0.0
622,175.136.144.147,2,3.0
623,175.136.224.10,2,4.0
624,175.136.81.224,1,0.0
625,175.136.93.131,2,1.0
626,175.137.134.115,204,110470.0
627,175.137.182.138,1,0.0
628,175.137.207.104,1,0.0
629,175.137.241.155,36,4222.0
630,175.137.38.231,381,349301.0
631,175.137.58.199,1,0.0
632,175.137.82.113,2,2.0
633,175.138.176.125,2,2.0
634,175.138.199.179,2,1.0
635,175.138.207.169,1,0.0
636,175.138.231.161,1,0.0
637,175.139.37.42,3,3.0
638,175.139.39.215,31,30.0
639,175.139.74.118,41,345.0
640,175.140.106.161,1,0.0
641,175.140.238.205,1,0.0
642,175.140.49.81,1,0.0
643,175.141.232.68,1,0.0
644,175.141.67.34,85,2709.0
645,175.141.9.247,1,0.0
646,175.142.191.93,1,0.0
647,175.142.193.125,1,0.0
648,175.142.194.177,2,5.0
649,175.142.204.221,50,213.0
650,175.142.207.140,20,2053.0
651,175.142.207.55,32,31.0
652,175.142.209.106,33,207.0
653,175.142.47.197,1,0.0
654,175.142.95.232,1,0.0
655,175.142.95.49,1,0.0
656,175.143.154.214,2,4.0
657,175.143.242.8,1,0.0
658,175.143.254.40,1,0.0
659,175.143.31.27,1,0.0
660,175.144.101.171,74,1689.0
661,175.144.14.109,2,2.0
662,175.144.188.216,3,61464.0
663,175.144.190.138,2,1.0
664,175.144.72.83,1,0.0
665,175.144.77.74,1,0.0
666,175.144.86.170,1,0.0
667,175.145.118.160,2,14.0
668,175.145.118.170,1,0.0
669,175.145.218.143,1,0.0
670,175.145.247.178,1,0.0
671,175.145.59.208,1,0.0
672,18.206.183.26,1,0.0
673,18.209.160.101,1,0.0
674,18.212.27.105,1,0.0
